,Date,days hour min sec,Distance 1,Distance 2,Distance 3,keystrokes,left,right,middle,double,wheel,x1 btn,x2 btn,idle days hour min sec
50,2020 may. 24 00:00:54,4 days 11 hours 53 min 46 sec,6 km,850 m,26 cm,85348,18509,5806,4,3770,50462,0,0,2 days 17 hours 36 min 6 sec
51,2020 may. 25 09:44:25,5 days 11 hours 6 min 26 sec,10 km,634 m,37 cm,103386,18509,5806,4,3770,50462,0,0,3 days 18 hours 49 min 21 sec
52,2020 may. 25 20:19:25,0 days 10 hours 25 min 5 sec,1 km,100 m,71 cm,7400,1108,3,4,70,4486,0,0,0 days 3 hours 45 min 38 sec
53,2020 may. 26 08:04:16,0 days 13 hours 21 min 20 sec,1 km,209 m,2 cm,8431,1194,3,4,72,5011,0,0,0 days 6 hours 1 min 44 sec
54,2020 may. 27 07:58:51,1 days 13 hours 15 min 54 sec,2 km,768 m,92 cm,27906,5857,1169,8,884,15258,0,0,0 days 21 hours 23 min 38 sec
55,2020 may. 28 00:00:50,2 days 5 hours 17 min 53 sec,4 km,60 m,10 cm,44355,8541,1188,11,1103,26318,0,0,1 days 4 hours 19 min 50 sec
56,2020 may. 29 09:28:31,3 days 14 hours 45 min 35 sec,4 km,838 m,72 cm,54759,10832,1201,11,1308,35289,0,0,2 days 8 hours 15 min 22 sec
57,2020 may. 30 00:00:31,4 days 5 hours 17 min 35 sec,6 km,496 m,7 cm,67199,14289,2287,22,2116,47078,0,0,2 days 15 hours 2 min 58 sec
58,2020 may. 31 16:00:57,4 days 15 hours 23 min 41 sec,8 km,10 m,37 cm,82848,17937,13581,26,7210,52811,0,0,3 days 14 hours 27 min 41 sec
59,2020 jun. 01 08:00:06,4 days 21 hours 57 min 16 sec,9 km,334 m,95 cm,90300,20730,19114,29,9694,55695,0,0,4 days 2 hours 40 min 28 sec
60,2020 jun. 02 00:00:30,0 days 15 hours 13 min 14 sec,1 km,605 m,47 cm,14492,4360,1222,15,701,9338,0,0,0 days 7 hours 40 min 3 sec
61,2020 jun. 03 00:01:32,1 days 15 hours 14 min 16 sec,2 km,427 m,99 cm,27609,7404,1258,18,854,18337,0,0,1 days 0 hours 29 min 43 sec
62,2020 jun. 04 08:00:45,2 days 23 hours 13 min 29 sec,3 km,915 m,83 cm,45069,11234,2440,28,1392,26582,0,0,2 days 2 hours 21 min 13 sec
63,2020 jun. 05 08:07:32,3 days 23 hours 20 min 16 sec,4 km,911 m,59 cm,54548,14858,2482,28,1800,36689,0,0,2 days 19 hours 42 min 18 sec
64,2020 jun. 06 00:00:32,4 days 15 hours 13 min 16 sec,6 km,66 m,8 cm,68025,18100,2500,30,2137,49185,0,0,3 days 4 hours 1 min 49 sec
65,2020 jun. 07 09:24:08,5 days 6 hours 11 min 51 sec,7 km,540 m,58 cm,79327,19900,11699,30,5970,50315,0,0,3 days 13 hours 14 min 30 sec
66,2020 jun. 08 08:25:49,5 days 19 hours 56 min 56 sec,7 km,569 m,92 cm,83369,19980,11700,30,5974,50445,0,0,4 days 11 hours 52 min 11 sec
67,2020 jun. 09 08:50:12,0 days 23 hours 39 min 35 sec,1 km,434 m,63 cm,15761,3692,50,4,410,13726,0,0,0 days 14 hours 6 min 47 sec
68,2020 jun. 10 00:00:31,1 days 14 hours 49 min 54 sec,3 km,195 m,36 cm,31457,8238,825,8,1027,29490,0,0,0 days 19 hours 55 min 28 sec
69,2020 jun. 11 00:00:37,2 days 14 hours 50 min 0 sec,4 km,68 m,26 cm,51562,11392,858,9,1342,42454,0,0,1 days 13 hours 6 min 17 sec
70,2020 jun. 12 08:49:54,3 days 23 hours 37 min 57 sec,5 km,293 m,14 cm,70779,15143,1465,11,1818,54842,0,0,2 days 9 hours 18 min 31 sec
71,2020 jun. 13 00:00:40,4 days 14 hours 48 min 43 sec,7 km,32 m,86 cm,93083,19901,2841,12,2507,68004,0,0,2 days 15 hours 29 min 20 sec
72,2020 jun. 14 00:00:43,5 days 6 hours 21 min 42 sec,8 km,113 m,55 cm,99371,21668,3823,12,2862,70112,0,0,3 days 3 hours 36 min 55 sec
73,2020 jun. 15 00:13:27,5 days 6 hours 56 min 30 sec,8 km,117 m,0 cm,99378,21682,3823,12,2862,70114,0,0,3 days 4 hours 10 min 52 sec
74,2020 jun. 16 08:45:47,6 days 15 hours 28 min 50 sec,10 km,871 m,43 cm,107461,25757,6506,14,4008,75191,0,0,3 days 14 hours 51 min 20 sec
75,2020 jun. 16 19:06:55,7 days 1 hours 49 min 57 sec,11 km,631 m,81 cm,123244,28662,6525,18,4300,85870,0,0,4 days 9 hours 57 min 32 sec
76,2020 jun. 17 00:20:31,0 days 5 hours 13 min 32 sec,0 km,365 m,94 cm,861,183,0,0,15,614,0,0,0 days 1 hours 49 min 29 sec
77,2020 jun. 17 09:07:11,0 days 13 hours 55 min 30 sec,0 km,381 m,84 cm,964,217,0,0,15,660,0,0,0 days 11 hours 36 min 47 sec
78,2020 jun. 18 08:31:27,1 days 13 hours 19 min 45 sec,1 km,465 m,98 cm,14455,2855,5,6,127,9935,0,0,1 days 3 hours 12 min 3 sec
79,2020 jun. 19 00:00:45,2 days 4 hours 49 min 3 sec,2 km,808 m,87 cm,38233,7629,130,12,482,24830,0,0,1 days 9 hours 0 min 5 sec
80,2020 jun. 20 17:16:55,2 days 23 hours 30 min 17 sec,4 km,145 m,17 cm,53302,11431,289,14,796,34104,0,0,2 days 19 hours 24 min 7 sec
81,2020 jun. 21 00:09:30,3 days 6 hours 22 min 51 sec,4 km,480 m,5 cm,54408,11568,291,14,805,34463,0,0,2 days 20 hours 20 min 30 sec
